"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HCLTECH","EQ","27-Jan-2016","        838.70","        838.00","        840.90","        830.20","        839.00","        836.00","        834.92","    1100759","           919046547.10","      40394"
"HCLTECH","EQ","28-Jan-2016","        836.00","        833.00","        849.80","        829.70","        844.15","        844.50","        842.99","    1600653","          1349327833.15","      35730"
"HCLTECH","EQ","29-Jan-2016","        844.50","        845.25","        870.00","        842.30","        866.40","        865.75","        858.65","    1917557","          1646507009.75","      34692"
"HCLTECH","EQ","01-Feb-2016","        865.75","        865.80","        889.90","        865.80","        876.70","        880.30","        882.35","    1297246","          1144620339.80","      51521"
"HCLTECH","EQ","02-Feb-2016","        880.30","        880.00","        885.00","        867.05","        871.00","        872.65","        879.04","    1112732","           978138654.10","      53212"
"HCLTECH","EQ","03-Feb-2016","        872.65","        866.35","        870.00","        848.85","        854.05","        852.10","        859.34","     978045","           840474567.10","      41001"
"HCLTECH","EQ","04-Feb-2016","        852.10","        855.10","        874.80","        848.95","        866.80","        867.35","        867.91","    1317307","          1143297591.60","      32685"
"HCLTECH","EQ","05-Feb-2016","        867.35","        877.00","        877.00","        858.35","        868.50","        869.65","        868.27","     983851","           854252892.50","      38004"
"HCLTECH","EQ","08-Feb-2016","        869.65","        866.10","        868.95","        846.00","        851.00","        849.75","        854.43","     805217","           688000797.65","      28792"
"HCLTECH","EQ","09-Feb-2016","        849.75","        843.00","        844.00","        805.95","        815.00","        810.45","        815.86","    1667218","          1360220931.35","      41750"
"HCLTECH","EQ","10-Feb-2016","        810.45","        815.50","        833.00","        807.60","        831.90","        827.40","        824.33","    1132697","           933720780.30","      28671"
"HCLTECH","EQ","11-Feb-2016","        827.40","        827.40","        827.40","        801.60","        806.75","        808.00","        813.40","    1619207","          1317058947.50","      39228"
"HCLTECH","EQ","12-Feb-2016","        808.00","        814.00","        825.85","        784.95","        799.50","        798.25","        802.15","    1392467","          1116964628.00","      71907"
"HCLTECH","EQ","15-Feb-2016","        798.25","        813.00","        832.50","        810.35","        825.50","        827.10","        822.61","    1380806","          1135869593.60","      52642"
"HCLTECH","EQ","16-Feb-2016","        827.10","        825.10","        837.90","        819.25","        826.70","        824.30","        825.93","    1052299","           869129232.70","      43527"
"HCLTECH","EQ","17-Feb-2016","        824.30","        829.95","        835.00","        816.35","        826.00","        824.80","        824.08","    1360181","          1120903310.35","      57964"
"HCLTECH","EQ","18-Feb-2016","        824.80","        829.05","        847.00","        827.35","        842.00","        843.95","        838.34","    1064582","           892481236.25","      31544"
"HCLTECH","EQ","19-Feb-2016","        843.95","        842.00","        857.00","        828.40","        842.50","        851.55","        849.01","    1183068","          1004438920.55","      54944"
"HCLTECH","EQ","22-Feb-2016","        851.55","        849.80","        849.80","        840.10","        845.50","        845.95","        844.68","     923775","           780294798.20","      38305"
"HCLTECH","EQ","23-Feb-2016","        845.95","        845.00","        849.00","        827.00","        828.05","        828.95","        835.48","     630477","           526751455.55","      46772"
"HCLTECH","EQ","24-Feb-2016","        828.95","        829.60","        839.00","        809.00","        811.55","        811.05","        817.63","     861124","           704080310.65","      60635"
"HCLTECH","EQ","25-Feb-2016","        811.05","        807.00","        815.00","        799.70","        813.90","        808.75","        805.96","     809816","           652676347.35","      30309"
"HCLTECH","EQ","26-Feb-2016","        808.75","        814.35","        832.00","        814.00","        826.00","        824.65","        825.04","    1023912","           844770784.10","      28241"
"HCLTECH","EQ","29-Feb-2016","        824.65","        822.00","        831.65","        795.00","        816.00","        813.25","        817.19","    1547030","          1264216430.10","      49703"
"HCLTECH","EQ","01-Mar-2016","        813.25","        813.90","        841.40","        809.00","        828.00","        832.15","        832.46","    1057236","           880104399.35","      48758"
"HCLTECH","EQ","02-Mar-2016","        832.15","        837.00","        865.00","        829.35","        850.25","        854.85","        847.13","    1639639","          1388992495.80","      59125"
"HCLTECH","EQ","03-Mar-2016","        854.85","        865.00","        866.35","        851.60","        857.00","        859.30","        859.50","    1007921","           866309201.25","      52491"
"HCLTECH","EQ","04-Mar-2016","        859.30","        860.20","        861.10","        830.35","        838.00","        835.40","        840.26","    1777388","          1493475796.05","      55536"
"HCLTECH","EQ","08-Mar-2016","        835.40","        828.00","        831.95","        809.45","        812.75","        815.25","        819.13","    3245006","          2658093792.35","      75683"
"HCLTECH","EQ","09-Mar-2016","        815.25","        813.95","        818.00","        801.35","        816.00","        815.65","        805.93","    6110739","          4924848866.40","      88401"
"HCLTECH","EQ","10-Mar-2016","        815.65","        821.80","        822.90","        806.40","        816.10","        817.85","        815.97","    2507897","          2046371570.40","      67193"
"HCLTECH","EQ","11-Mar-2016","        817.85","        817.00","        825.00","        812.50","        824.00","        823.05","        821.48","    2120515","          1741954375.20","      54111"
"HCLTECH","EQ","14-Mar-2016","        823.05","        823.85","        830.40","        822.00","        824.50","        827.90","        827.09","    1426361","          1179733536.45","      44460"
"HCLTECH","EQ","15-Mar-2016","        827.90","        826.00","        826.95","        810.50","        811.00","        811.85","        813.75","    1355645","          1103161690.85","      56759"
"HCLTECH","EQ","16-Mar-2016","        811.85","        813.45","        816.50","        807.50","        815.40","        814.90","        812.94","    1218254","           990368282.30","      48638"
"HCLTECH","EQ","17-Mar-2016","        814.90","        820.00","        829.00","        810.55","        811.05","        815.30","        821.25","    1714817","          1408287672.60","      51852"
"HCLTECH","EQ","18-Mar-2016","        815.30","        816.00","        828.80","        815.00","        823.00","        824.15","        821.75","    1661532","          1365360545.35","      36091"
"HCLTECH","EQ","21-Mar-2016","        824.15","        828.00","        828.00","        815.20","        824.90","        822.55","        819.37","    1658201","          1358676478.20","      49881"
"HCLTECH","EQ","22-Mar-2016","        822.55","        820.75","        831.00","        817.00","        827.85","        828.45","        825.94","    2733211","          2257479661.30","      63617"
"HCLTECH","EQ","23-Mar-2016","        828.45","        828.00","        830.00","        813.40","        817.00","        817.70","        817.61","    2509320","          2051646425.80","      82805"
"HCLTECH","EQ","28-Mar-2016","        817.70","        819.90","        826.50","        806.45","        810.65","        810.65","        817.20","    2957244","          2416650726.80","      93153"
"HCLTECH","EQ","29-Mar-2016","        810.65","        814.60","        816.20","        799.90","        807.00","        806.80","        806.79","    2531685","          2042529115.65","      58465"
"HCLTECH","EQ","30-Mar-2016","        806.80","        805.45","        822.00","        805.45","        821.00","        820.60","        816.06","    2302342","          1878858580.85","      85561"
"HCLTECH","EQ","31-Mar-2016","        820.60","        815.00","        824.50","        809.90","        813.40","        814.10","        815.78","    4586967","          3741972144.05","      90692"
"HCLTECH","EQ","01-Apr-2016","        814.10","        820.00","        824.00","        807.00","        822.50","        820.40","        818.55","    2664808","          2181281641.30","     120907"
"HCLTECH","EQ","04-Apr-2016","        820.40","        815.00","        841.95","        815.00","        840.00","        839.85","        833.02","    2830985","          2358276807.60","      91428"
"HCLTECH","EQ","05-Apr-2016","        839.85","        839.85","        848.90","        832.55","        841.60","        843.25","        841.85","    2499888","          2104533544.05","      62406"
"HCLTECH","EQ","06-Apr-2016","        843.25","        847.00","        847.95","        826.10","        840.15","        838.75","        838.35","    1082920","           907867894.75","      42606"
"HCLTECH","EQ","07-Apr-2016","        838.75","        846.90","        846.90","        827.00","        828.10","        828.45","        833.70","     940830","           784366938.95","      26684"
